Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Open position,17261696,EURAUD.PRO,0.65,Sell,1.64905,1.65031,2024/02/07 09:08:05,1970/01/01 00:00:00,2024/02/07,1970/01/01,-53.48,0,-4.55,-58.03,0,0,-12.6,Loss,0,80,7-6-1S,compoundit
Open position,17264949,EURCAD.PRO,0.91,Sell,1.45208,1.45015,2024/02/07 09:40:04,1970/01/01 00:00:00,2024/02/07,1970/01/01,130.51,0,-6.37,124.14,0,0,19.3,Win,0,80,7-6-1S,compoundit
Open position,17264973,EURCHF.PRO,0.65,Sell,0.93661,0.93931,2024/02/07 09:46:04,1970/01/01 00:00:00,2024/02/07,1970/01/01,-201.33,0,-4.55,-205.88,0,0,-27.0,Loss,0,80,7-6-1S,compoundit
Open position,17264974,EURCHF.PRO,0.65,Sell,0.93661,0.93931,2024/02/07 09:46:05,1970/01/01 00:00:00,2024/02/07,1970/01/01,-201.33,0,-4.55,-205.88,0,0,-27.0,Loss,0,80,7-6-1S,compoundit
Open position,17265085,AUDCAD.PRO,0.65,Buy,0.88016,0.87867,2024/02/07 09:54:02,1970/01/01 00:00:00,2024/02/07,1970/01/01,-71.97,0,-4.55,-76.52,0,0,-14.9,Loss,0,80,7-6-1L,compoundit
Open position,17265273,EURCHF.PRO,0.91,Sell,0.93716,0.93931,2024/02/07 10:02:03,1970/01/01 00:00:00,2024/02/07,1970/01/01,-224.45,0,-6.37,-230.82,0,0,-21.5,Loss,0,80,7-6-1S,compoundit
Open position,17265275,EURCHF.PRO,0.91,Sell,0.93711,0.93931,2024/02/07 10:02:04,1970/01/01 00:00:00,2024/02/07,1970/01/01,-229.66,0,-6.37,-236.03,0,0,-22.0,Loss,0,80,7-6-1S,compoundit
Open position,17265281,GBPUSD.PRO,1.43,Sell,1.26274,1.26318,2024/02/07 10:02:08,1970/01/01 00:00:00,2024/02/07,1970/01/01,-62.92,0,-10.01,-72.93,0,0,-4.4,Loss,0,80,7-6-1S,compoundit
Open position,17268664,CADJPY.PRO,0.91,Sell,109.827,110.141,2024/02/07 10:42:07,1970/01/01 00:00:00,2024/02/07,1970/01/01,-192.79,0,-6.37,-199.16,0,0,-31.4,Loss,0,80,7-6-1S,compoundit
Open position,17269063,AUDCAD.PRO,0.91,Buy,0.87929,0.87867,2024/02/07 11:00:10,1970/01/01 00:00:00,2024/02/07,1970/01/01,-41.93,0,-6.37,-48.30,0,0,-6.2,Loss,0,80,7-6-1L,compoundit
Open position,17270661,EURCHF.PRO,1.16,Sell,0.93936,0.93931,2024/02/07 12:14:04,1970/01/01 00:00:00,2024/02/07,1970/01/01,6.65,0,-8.12,-1.47,0,0,0.5,Loss,0,80,7-6-1S,compoundit
Open position,17270662,EURCHF.PRO,1.16,Sell,0.93936,0.93931,2024/02/07 12:14:04,1970/01/01 00:00:00,2024/02/07,1970/01/01,6.65,0,-8.12,-1.47,0,0,0.5,Loss,0,80,7-6-1S,compoundit
Open position,17271182,EURAUD.PRO,0.91,Sell,1.65097,1.65031,2024/02/07 12:28:12,1970/01/01 00:00:00,2024/02/07,1970/01/01,39.22,0,-6.37,32.85,0,0,6.6,Win,0,80,7-6-1S,compoundit
Open position,17272031,NZDJPY.PRO,1.43,Sell,90.423,90.634,2024/02/07 13:24:10,1970/01/01 00:00:00,2024/02/07,1970/01/01,-203.57,0,-10.01,-213.58,0,0,-21.1,Loss,0,80,7-6-1S,compoundit
Open position,17274795,EURNZD.PRO,0.78,Sell,1.76252,1.76228,2024/02/07 14:00:15,1970/01/01 00:00:00,2024/02/07,1970/01/01,11.45,0,-5.46,5.99,0,0,2.4,Win,0,80,7-6-1S,compoundit
Open position,17274940,GBPAUD.PRO,0.78,Buy,1.93592,1.93446,2024/02/07 14:12:03,1970/01/01 00:00:00,2024/02/07,1970/01/01,-74.36,0,-5.46,-79.82,0,0,-14.6,Loss,0,80,7-6-1L,compoundit
Open position,17274944,EURJPY.PRO,1.16,Sell,159.574,159.714,2024/02/07 14:12:07,1970/01/01 00:00:00,2024/02/07,1970/01/01,-109.57,0,-8.12,-117.69,0,0,-14.0,Loss,0,80,7-6-1S,compoundit
Open position,17275211,AUDNZD.PRO,0.78,Sell,1.0677,1.06786,2024/02/07 14:18:05,1970/01/01 00:00:00,2024/02/07,1970/01/01,-7.64,0,-5.46,-13.10,0,0,-1.6,Loss,0,80,7-6-1S,compoundit
Open position,17275422,CADJPY.PRO,1.16,Sell,109.995,110.141,2024/02/07 14:32:04,1970/01/01 00:00:00,2024/02/07,1970/01/01,-114.26,0,-8.12,-122.38,0,0,-14.6,Loss,0,80,7-6-1S,compoundit
Open position,17275438,CADCHF.PRO,0.78,Buy,0.64751,0.64772,2024/02/07 14:34:06,1970/01/01 00:00:00,2024/02/07,1970/01/01,18.79,0,-5.46,13.33,0,0,2.1,Win,0,80,7-6-1L,compoundit
Open position,17277119,EURGBP.PRO,0.78,Sell,0.85278,0.85307,2024/02/07 15:02:03,1970/01/01 00:00:00,2024/02/07,1970/01/01,-28.57,0,-5.46,-34.03,0,0,-2.9,Loss,0,80,7-6-1S,compoundit
Open position,17277144,USDCAD.PRO,1.43,Buy,1.34617,1.34573,2024/02/07 15:04:04,1970/01/01 00:00:00,2024/02/07,1970/01/01,-46.76,0,-10.01,-56.77,0,0,-4.4,Loss,0,80,7-6-1L,compoundit
Open position,17277295,GBPAUD.PRO,0.65,Buy,1.9346,1.93446,2024/02/07 15:10:03,1970/01/01 00:00:00,2024/02/07,1970/01/01,-5.94,0,-4.55,-10.49,0,0,-1.4,Loss,0,80,7-6-1L,compoundit
